Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;5.27392;;28.2929;;;;80.9337;;0.106812;10.9847;
20120618;03;00;;;7.29817;;28.6134;;;;80.5509;;0;-9.99e+08;
20120618;06;00;;;9.43097;;28.7242;;;;80.1375;;0;12.9168;
20120618;09;00;;;7.9041;;28.6982;;;;80.7193;;0;-9.99e+08;
20120618;12;00;;;8.17603;;28.5026;;;;81.906;;0.0038147;12.8876;
20120618;15;00;;;6.83332;;27.7712;;;;85.7632;;0.366211;-9.99e+08;
20120618;18;00;;;4.95444;;27.0866;;;;88.1732;;0.427246;11.2121;
20120618;21;00;;;4.29653;;26.8745;;;;88.5502;;0.450134;-9.99e+08;
20120619;00;00;;;3.71329;;27.1142;;;;87.7969;;0.167847;8.07812;
20120619;03;00;;;6.49699;;27.6499;;;;86.8111;;0.00762939;-9.99e+08;
20120619;06;00;;;7.28633;;28.1278;;;;84.8348;;0;11.0213;
20120619;09;00;;;4.60641;;28.2404;;;;84.1083;;0.00762939;-9.99e+08;
20120619;12;00;;;4.50164;;28.0165;;;;85.3888;;0.175476;10.485;
20120619;15;00;;;2.78728;;27.1588;;;;88.3633;;0.389099;-9.99e+08;
20120619;18;00;;;3.58566;;26.6528;;;;89.3755;;0.450134;7.06524;
20120619;21;00;;;4.05495;;26.0796;;;;90.067;;0.495911;-9.99e+08;
20120620;00;00;;;3.88089;;26.6766;;;;87.9521;;0.0991821;7.71139;
20120620;03;00;;;5.69088;;27.4305;;;;84.029;;0.137329;-9.99e+08;
20120620;06;00;;;7.26752;;27.6675;;;;82.106;;0.106812;10.5268;
20120620;09;00;;;9.54988;;26.9242;;;;86.0369;;0.305176;-9.99e+08;
20120620;12;00;;;8.01608;;26.8963;;;;86.0291;;0.679016;13.7081;
20120620;15;00;;;8.01608;;26.8963;;;;86.0291;;0.37384;13.7081;
20120620;18;00;;;6.12703;;26.7145;;;;86.6768;;0.198364;11.6635;
20120620;21;00;;;6.12703;;26.7145;;;;86.6768;;0.198364;11.6635;
20120621;00;00;;;2.95277;;26.1504;;;;86.6947;;0.656128;9.77384;
