Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;38.7403;;26.8241;;;;93.2042;;9.37271;61.4907;
20120618;03;00;;;38.8498;;27.3009;;;;90.8214;;10.3722;-9.99e+08;
20120618;06;00;;;34.5633;;27.1617;;;;93.3195;;10.6049;55.4455;
20120618;09;00;;;35.1688;;27.2607;;;;92.2271;;19.3863;-9.99e+08;
20120618;12;00;;;33.0117;;27.8464;;;;86.7568;;8.09479;48.5023;
20120618;15;00;;;25.9562;;27.8024;;;;88.7119;;1.12534;-9.99e+08;
20120618;18;00;;;22.6779;;26.8678;;;;93.1393;;7.39288;43.8026;
20120618;21;00;;;25.1679;;27.437;;;;88.7208;;1.54877;-9.99e+08;
20120619;00;00;;;19.7289;;27.3017;;;;90.8483;;1.65558;33.1907;
20120619;03;00;;;21.081;;26.9624;;;;92.0535;;7.59125;-9.99e+08;
20120619;06;00;;;20.5274;;27.1903;;;;90.5661;;5.95093;33.0982;
20120619;09;00;;;18.722;;27.5841;;;;88.7377;;4.65393;-9.99e+08;
20120619;12;00;;;19.4718;;28.2353;;;;87.1739;;1.12915;30.7015;
20120619;15;00;;;19.2658;;27.6276;;;;91.9942;;2.54822;-9.99e+08;
20120619;18;00;;;23.2488;;28.5903;;;;86.4154;;2.41852;30.5223;
20120619;21;00;;;20.7981;;28.3296;;;;88.3702;;0.37384;-9.99e+08;
20120620;00;00;;;20.953;;28.7391;;;;85.9458;;0.0152588;30.5154;
20120620;03;00;;;19.2587;;28.9618;;;;84.6637;;0.0152588;-9.99e+08;
20120620;06;00;;;18.7665;;29.0113;;;;84.6605;;0.0228882;27.3508;
20120620;09;00;;;17.8122;;29.1117;;;;83.3942;;0.038147;-9.99e+08;
20120620;12;00;;;17.5734;;28.9275;;;;84.9565;;0.0991821;24.2938;
20120620;15;00;;;17.5734;;28.9275;;;;84.9565;;0.0610352;24.2938;
20120620;18;00;;;18.1652;;28.6833;;;;85.829;;0.0610352;24.7039;
20120620;21;00;;;18.1652;;28.6833;;;;85.829;;0.0610352;24.7039;
20120621;00;00;;;17.5227;;28.7129;;;;85.8938;;0.0457764;23.659;
