Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;25.4176;;27.8866;;;;87.6475;;0.44632;37.8381;
20120618;03;00;;;26.6796;;28.5197;;;;84.9755;;0.30899;-9.99e+08;
20120618;06;00;;;27.297;;29.0367;;;;81.8042;;0.114441;37.492;
20120618;09;00;;;26.7213;;29.0732;;;;82.0501;;0.106812;-9.99e+08;
20120618;12;00;;;26.1981;;29.0964;;;;82.4429;;0.038147;36.2991;
20120618;15;00;;;26.2403;;28.9899;;;;82.6931;;0.0572205;-9.99e+08;
20120618;18;00;;;28.1298;;28.5241;;;;84.0068;;0.358582;39.0394;
20120618;21;00;;;28.118;;28.6557;;;;83.8975;;0.656128;-9.99e+08;
20120619;00;00;;;25.1377;;27.4267;;;;91.2601;;1.48773;39.0929;
20120619;03;00;;;28.1736;;28.6187;;;;83.2994;;1.65558;-9.99e+08;
20120619;06;00;;;28.6212;;29.3153;;;;79.1593;;0.0915527;38.8201;
20120619;09;00;;;26.723;;29.2404;;;;80.4091;;0.0228882;-9.99e+08;
20120619;12;00;;;26.1296;;28.954;;;;82.3128;;0.244141;38.0693;
20120619;15;00;;;24.9705;;28.7526;;;;82.87;;0.37384;-9.99e+08;
20120619;18;00;;;27.3757;;28.0591;;;;85.9933;;0.816345;35.9709;
20120619;21;00;;;25.7865;;27.7358;;;;88.1977;;0.198364;-9.99e+08;
20120620;00;00;;;22.7269;;27.3016;;;;91.1783;;1.23596;36.5847;
20120620;03;00;;;25.5104;;28.9305;;;;83.5639;;1.297;-9.99e+08;
20120620;06;00;;;24.2543;;28.605;;;;84.8697;;0.198364;34.2383;
20120620;09;00;;;23.3143;;28.4242;;;;86.7949;;0.427246;-9.99e+08;
20120620;12;00;;;22.9817;;28.5525;;;;86.5467;;0.961304;32.0318;
20120620;15;00;;;22.9817;;28.5525;;;;86.5467;;0.534058;32.0318;
20120620;18;00;;;21.2311;;28.1833;;;;87.3054;;0.686646;30.4884;
20120620;21;00;;;21.2311;;28.1833;;;;87.3054;;0.686646;30.4884;
20120621;00;00;;;21.0646;;27.6504;;;;86.5615;;4.0741;31.6742;
