Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;11.7091;;28.4804;;;;84.1836;;-4.19583e-20;15.4043;
20120618;03;00;;;10.9522;;28.7072;;;;82.0866;;0;-9.99e+08;
20120618;06;00;;;9.47736;;28.7555;;;;81.421;;0;15.6714;
20120618;09;00;;;6.92231;;28.6357;;;;81.7674;;0;-9.99e+08;
20120618;12;00;;;8.02854;;28.4401;;;;82.9742;;1.26218e-26;12.6655;
20120618;15;00;;;9.58059;;28.2399;;;;84.315;;2.52435e-26;-9.99e+08;
20120618;18;00;;;8.79153;;27.8678;;;;84.8064;;0;13.0878;
20120618;21;00;;;8.53918;;27.562;;;;82.6988;;0;-9.99e+08;
20120619;00;00;;;9.36477;;27.8642;;;;81.3102;;0;13.0235;
20120619;03;00;;;6.84701;;28.3374;;;;79.0491;;0;-9.99e+08;
20120619;06;00;;;5.73948;;28.2215;;;;79.8297;;0.106812;12.8685;
20120619;09;00;;;5.5073;;28.2716;;;;80.0676;;0.0152588;-9.99e+08;
20120619;12;00;;;6.39171;;28.2978;;;;80.7118;;0;9.05551;
20120619;15;00;;;5.98362;;28.3151;;;;80.6952;;0.0152588;-9.99e+08;
20120619;18;00;;;5.42644;;28.1216;;;;81.4897;;0.00762939;9.5427;
20120619;21;00;;;7.14504;;27.8296;;;;83.5526;;0.038147;-9.99e+08;
20120620;00;00;;;9.08766;;27.7391;;;;84.9851;;0.236511;12.3474;
20120620;03;00;;;11.5653;;27.7118;;;;85.7952;;0.62561;-9.99e+08;
20120620;06;00;;;10.3756;;28.1988;;;;82.64;;0.274658;15.6944;
20120620;09;00;;;8.95216;;28.1742;;;;82.3394;;0.137329;-9.99e+08;
20120620;12;00;;;8.37451;;27.6775;;;;85.5919;;0.450134;14.0289;
20120620;15;00;;;8.37451;;27.6775;;;;85.5919;;0.312805;14.0289;
20120620;18;00;;;9.72675;;27.8083;;;;83.8941;;0.762939;13.7176;
20120620;21;00;;;9.72675;;27.8083;;;;83.8941;;0.762939;13.7176;
20120621;00;00;;;7.71736;;28.1816;;;;81.3505;;0.0457764;13.77;
