Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;27.4082;;27.1366;;;;89.9532;;4.1275;38.8424;
20120618;03;00;;;23.3996;;27.0509;;;;91.077;;2.97165;-9.99e+08;
20120618;06;00;;;20.0458;;26.9117;;;;92.616;;5.58853;37.025;
20120618;09;00;;;18.0036;;27.1357;;;;90.1901;;7.65991;-9.99e+08;
20120618;12;00;;;18.7004;;28.9089;;;;81.7129;;0.225067;28.601;
20120618;15;00;;;17.68;;27.8962;;;;87.8101;;1.50299;-9.99e+08;
20120618;18;00;;;17.4031;;27.8991;;;;87.0738;;2.66266;26.3844;
20120618;21;00;;;18.5755;;27.812;;;;88.486;;2.50244;-9.99e+08;
20120619;00;00;;;16.6619;;27.708;;;;89.4076;;1.27411;24.9116;
20120619;03;00;;;18.4561;;28.7437;;;;84.2837;;0.328064;-9.99e+08;
20120619;06;00;;;16.7425;;28.5965;;;;85.0009;;0.335693;24.8286;
20120619;09;00;;;16.5332;;28.7716;;;;84.4031;;0.846863;-9.99e+08;
20120619;12;00;;;15.6095;;27.9853;;;;86.8991;;0.663757;22.0465;
20120619;15;00;;;17.1358;;28.3463;;;;85.2736;;0.602722;-9.99e+08;
20120619;18;00;;;16.6294;;28.4653;;;;85.0304;;0.1297;23.1659;
20120619;21;00;;;15.8095;;28.4546;;;;85.0855;;0.144958;-9.99e+08;
20120620;00;00;;;14.8916;;28.7391;;;;84.705;;0.0152588;21.9079;
20120620;03;00;;;15.0541;;29.0868;;;;82.3807;;0.00762939;-9.99e+08;
20120620;06;00;;;14.6064;;29.105;;;;82.2564;;0.0762939;20.0684;
20120620;09;00;;;13.4022;;28.8617;;;;84.7095;;0.106812;-9.99e+08;
20120620;12;00;;;14.2037;;29.0838;;;;83.0256;;0.106812;19.0731;
20120620;15;00;;;14.2037;;29.0838;;;;83.0256;;0;19.0731;
20120620;18;00;;;13.1888;;28.6833;;;;83.9778;;0.0152588;18.5415;
20120620;21;00;;;13.1888;;28.6833;;;;83.9778;;0.0152588;18.5415;
20120621;00;00;;;11.1198;;28.3691;;;;85.1165;;0.152588;17.3809;
