Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;12.9973;;28.4179;;;;84.4229;;0.148773;19.839;
20120618;03;00;;;12.1432;;28.5822;;;;83.6337;;0.106812;-9.99e+08;
20120618;06;00;;;10.6531;;28.568;;;;82.9461;;0.0305176;17.1655;
20120618;09;00;;;10.4636;;28.5732;;;;82.9526;;0.00762939;-9.99e+08;
20120618;12;00;;;9.34266;;28.5339;;;;83.4664;;0;14.4709;
20120618;15;00;;;10.3363;;28.3024;;;;85.3095;;0;-9.99e+08;
20120618;18;00;;;8.88997;;27.9928;;;;86.1928;;0.00762939;13.9706;
20120618;21;00;;;7.55694;;28.062;;;;82.9908;;0.0228882;-9.99e+08;
20120619;00;00;;;7.68022;;28.1142;;;;83.7343;;0;12.2642;
20120619;03;00;;;7.10688;;28.3374;;;;82.3106;;0;-9.99e+08;
20120619;06;00;;;6.65841;;28.4715;;;;81.0186;;0;11.0061;
20120619;09;00;;;7.66736;;28.5216;;;;80.6757;;0;-9.99e+08;
20120619;12;00;;;7.65923;;28.454;;;;80.2649;;0;10.6312;
20120619;15;00;;;5.05667;;28.2213;;;;80.8014;;0;-9.99e+08;
20120619;18;00;;;4.06695;;27.8716;;;;82.7752;;0;11.0064;
20120619;21;00;;;1.14889;;27.6108;;;;83.4093;;0;-9.99e+08;
20120620;00;00;;;1.26325;;27.6141;;;;83.4961;;0;6.59321;
20120620;03;00;;;3.45608;;27.9305;;;;81.6655;;0;-9.99e+08;
20120620;06;00;;;4.69352;;27.9488;;;;81.7786;;0.038147;7.71712;
20120620;09;00;;;5.94858;;27.1117;;;;86.5612;;0.404358;-9.99e+08;
20120620;12;00;;;4.43789;;27.1463;;;;86.814;;0.846863;10.0384;
20120620;15;00;;;4.43789;;27.1463;;;;86.814;;0.442505;10.0384;
20120620;18;00;;;0.287239;;25.527;;;;90.8203;;5.11169;8.57854;
20120620;21;00;;;0.287239;;25.527;;;;90.8203;;5.11169;8.57854;
20120621;00;00;;;1.55397;;25.9004;;;;88.3669;;3.34167;8.94612;
