Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;12.7213;;28.8241;;;;78.8112;;-4.19583e-20;18.1874;
20120618;03;00;;;12.1979;;28.8634;;;;79.5436;;0;-9.99e+08;
20120618;06;00;;;10.9422;;28.8805;;;;79.8107;;0;17.3021;
20120618;09;00;;;10.4961;;28.9794;;;;79.1439;;0;-9.99e+08;
20120618;12;00;;;11.9344;;28.8776;;;;80.541;;1.26218e-26;15.7846;
20120618;15;00;;;11.4866;;28.6149;;;;81.704;;2.52435e-26;-9.99e+08;
20120618;18;00;;;9.76481;;28.1491;;;;83.4836;;0.114441;15.8823;
20120618;21;00;;;9.57224;;27.437;;;;87.6804;;0.38147;-9.99e+08;
20120619;00;00;;;9.4028;;27.6455;;;;86.8096;;0.205994;13.5456;
20120619;03;00;;;8.71852;;28.2124;;;;83.6231;;0.0457764;-9.99e+08;
20120619;06;00;;;9.52154;;27.9715;;;;85.0687;;0.152588;13.3241;
20120619;09;00;;;6.55435;;28.1154;;;;84.5882;;0.0991821;-9.99e+08;
20120619;12;00;;;6.5777;;27.9853;;;;85.3861;;0.167847;13.1561;
20120619;15;00;;;6.74382;;27.0651;;;;87.7062;;0.366211;-9.99e+08;
20120619;18;00;;;5.10012;;26.2778;;;;90.9632;;0.961304;12.0961;
20120619;21;00;;;2.95844;;25.8296;;;;91.8208;;1.49536;-9.99e+08;
20120620;00;00;;;8.90402;;25.8329;;;;91.9187;;1.18256;12.7005;
20120620;03;00;;;10.3548;;26.9305;;;;85.9808;;0.0991821;-9.99e+08;
20120620;06;00;;;9.6996;;27.355;;;;84.014;;0.228882;14.7736;
20120620;09;00;;;7.98521;;27.7367;;;;81.4608;;0.190735;-9.99e+08;
20120620;12;00;;;5.56634;;27.0213;;;;83.5482;;0.785828;13.6094;
20120620;15;00;;;5.56634;;27.0213;;;;83.5482;;0.595093;13.6094;
20120620;18;00;;;6.79873;;27.3083;;;;83.1134;;0.579834;12.9336;
20120620;21;00;;;6.79873;;27.3083;;;;83.1134;;0.579834;12.9336;
20120621;00;00;;;5.05224;;27.8066;;;;80.8392;;0.0152588;10.6471;
