Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;23.9505;;27.6679;;;;90.7877;;0.728607;36.5661;
20120618;03;00;;;24.2381;;27.7384;;;;90.4448;;2.02942;-9.99e+08;
20120618;06;00;;;26.5956;;28.8492;;;;83.6981;;0.354767;38.3938;
20120618;09;00;;;25.5229;;28.8857;;;;84.4388;;0.881195;-9.99e+08;
20120618;12;00;;;25.1222;;28.8151;;;;84.2232;;0.518799;38.8051;
20120618;15;00;;;24.1805;;28.1774;;;;87.7025;;0.965118;-9.99e+08;
20120618;18;00;;;27.4075;;28.6178;;;;85.3699;;0.999451;38.6597;
20120618;21;00;;;25.9989;;27.3745;;;;91.6522;;3.49426;-9.99e+08;
20120619;00;00;;;26.5318;;27.6455;;;;89.1402;;2.05994;39.7706;
20120619;03;00;;;25.7032;;27.0562;;;;93.0223;;5.28717;-9.99e+08;
20120619;06;00;;;26.6211;;27.7215;;;;89.931;;2.09045;39.5643;
20120619;09;00;;;27.4162;;28.0841;;;;87.8646;;0.854492;-9.99e+08;
20120619;12;00;;;25.5219;;28.0165;;;;88.4454;;1.21307;38.4376;
20120619;15;00;;;25.0025;;28.5338;;;;87.0496;;1.18256;-9.99e+08;
20120619;18;00;;;22.6605;;27.6528;;;;90.7722;;4.28009;35.5;
20120619;21;00;;;24.8111;;27.5171;;;;90.423;;2.22015;-9.99e+08;
20120620;00;00;;;23.0883;;28.0829;;;;88.1853;;1.08337;34.8401;
20120620;03;00;;;23.8395;;27.743;;;;89.5345;;3.2959;-9.99e+08;
20120620;06;00;;;24.8161;;28.9175;;;;82.833;;0.358582;33.4353;
20120620;09;00;;;21.4825;;27.9242;;;;90.5348;;0.75531;-9.99e+08;
20120620;12;00;;;18.1057;;27.3338;;;;92.2555;;4.28009;33.598;
20120620;15;00;;;18.1057;;27.3338;;;;92.2555;;3.52478;33.598;
20120620;18;00;;;20.7299;;27.3395;;;;91.4653;;2.05994;27.9445;
20120620;21;00;;;20.7299;;27.3395;;;;91.4653;;2.05994;27.9445;
20120621;00;00;;;19.0531;;27.8066;;;;88.3732;;2.63977;30.3966;
