Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;11.8753;;28.3554;;;;86.5361;;-4.19583e-20;17.0749;
20120618;03;00;;;13.1466;;28.5822;;;;85.9769;;0;-9.99e+08;
20120618;06;00;;;13.2175;;28.8805;;;;82.8576;;0;17.8052;
20120618;09;00;;;12.5609;;29.0732;;;;81.1103;;0;-9.99e+08;
20120618;12;00;;;13.8598;;29.0651;;;;80.4465;;0.0572205;18.357;
20120618;15;00;;;11.7977;;28.7087;;;;81.361;;-0.0038147;-9.99e+08;
20120618;18;00;;;12.9318;;28.0553;;;;84.8235;;0;18.2344;
20120618;21;00;;;14.2621;;27.6245;;;;87.1802;;0.00762939;-9.99e+08;
20120619;00;00;;;11.9596;;27.583;;;;85.5399;;0.00762939;19.2884;
20120619;03;00;;;10.0516;;27.8374;;;;83.4647;;0;-9.99e+08;
20120619;06;00;;;11.0346;;27.9715;;;;82.2655;;0;16.299;
20120619;09;00;;;10.5919;;27.9904;;;;82.5085;;0;-9.99e+08;
20120619;12;00;;;9.60452;;28.1103;;;;82.3443;;0;15.1324;
20120619;15;00;;;9.7783;;28.0651;;;;83.5261;;0.00762939;-9.99e+08;
20120619;18;00;;;9.43829;;27.7153;;;;84.4673;;0;13.5674;
20120619;21;00;;;9.78638;;27.5796;;;;85.2563;;0;-9.99e+08;
20120620;00;00;;;10.2513;;27.7391;;;;84.7369;;0;13.9743;
20120620;03;00;;;11.781;;28.0243;;;;84.4542;;0;-9.99e+08;
20120620;06;00;;;11.0881;;28.5425;;;;81.3702;;0;16.355;
20120620;09;00;;;10.576;;28.4867;;;;81.8964;;0.0152588;-9.99e+08;
20120620;12;00;;;10.409;;28.49;;;;82.0102;;0.0152588;14.9212;
20120620;15;00;;;10.409;;28.49;;;;82.0102;;0;14.9212;
20120620;18;00;;;13.0993;;27.777;;;;86.129;;0.0305176;17.6853;
20120620;21;00;;;13.0993;;27.777;;;;86.129;;0.0305176;17.6853;
20120621;00;00;;;11.5315;;27.4941;;;;87.3158;;0.442505;17.6637;
