Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;1.95617;;26.0429;;;;93.5904;;0.682831;6.25759;
20120618;03;00;;;2.72215;;27.2384;;;;87.9099;;0.679016;-9.99e+08;
20120618;06;00;;;2.49743;;28.3805;;;;82.09;;0.362396;8.12699;
20120618;09;00;;;2.39941;;28.8544;;;;78.4517;;0.0419617;-9.99e+08;
20120618;12;00;;;2.75378;;27.5651;;;;85.8473;;0;7.56629;
20120618;15;00;;;2.02852;;25.7087;;;;95.0328;;0.0038147;-9.99e+08;
20120618;18;00;;;3.0186;;24.7428;;;;99.0224;;0.0152588;5.56617;
20120618;21;00;;;3.42683;;23.8432;;;;99.3208;;0.0152588;-9.99e+08;
20120619;00;00;;;3.36804;;25.9892;;;;91.7279;;0.0152588;7.59971;
20120619;03;00;;;2.23926;;28.8999;;;;74.5203;;0.0305176;-9.99e+08;
20120619;06;00;;;1.07865;;31.0653;;;;64.6781;;0;7.97811;
20120619;09;00;;;5.35839;;30.4279;;;;74.9382;;0;-9.99e+08;
20120619;12;00;;;5.88572;;27.079;;;;86.6985;;0;11.5994;
20120619;15;00;;;4.11771;;25.9401;;;;92.3222;;0;-9.99e+08;
20120619;18;00;;;0.0723355;;26.0278;;;;93.9969;;0;9.71546;
20120619;21;00;;;1.91878;;24.4546;;;;99.1453;;0.0228882;-9.99e+08;
20120620;00;00;;;2.03918;;26.3329;;;;91.8071;;0.160217;6.02557;
20120620;03;00;;;3.8034;;28.0868;;;;82.7563;;0.724792;-9.99e+08;
20120620;06;00;;;2.99913;;29.605;;;;76.8546;;0.602722;9.43141;
20120620;09;00;;;3.33324;;28.7992;;;;80.1777;;0.335693;-9.99e+08;
20120620;12;00;;;4.64522;;27.0525;;;;89.0143;;0.335693;9.84477;
20120620;15;00;;;4.64522;;27.0525;;;;89.0143;;0;9.84477;
20120620;18;00;;;1.30577;;24.9333;;;;94.5628;;2.45667;7.74702;
20120620;21;00;;;1.30577;;24.9333;;;;94.5628;;2.45667;7.74702;
20120621;00;00;;;3.07051;;25.0254;;;;93.2176;;1.75476;8.28166;
