Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;23.961;;27.1054;;;;91.1602;;7.15637;36.7237;
20120618;03;00;;;22.1422;;28.0822;;;;86.3124;;3.0098;-9.99e+08;
20120618;06;00;;;21.5606;;28.4742;;;;83.9052;;0.69809;32.8409;
20120618;09;00;;;20.3132;;29.1982;;;;80.3126;;0.961304;-9.99e+08;
20120618;12;00;;;19.3307;;28.0964;;;;87.0316;;1.26648;29.2483;
20120618;15;00;;;18.5988;;28.9274;;;;82.4482;;0.717163;-9.99e+08;
20120618;18;00;;;17.9204;;28.2741;;;;86.2163;;1.11389;26.2288;
20120618;21;00;;;18.8054;;29.187;;;;81.4436;;0.274658;-9.99e+08;
20120619;00;00;;;19.0263;;29.1767;;;;82.5155;;0.282288;25.8304;
20120619;03;00;;;19.0208;;29.2124;;;;83.1175;;0.144958;-9.99e+08;
20120619;06;00;;;17.6662;;29.1903;;;;83.7108;;0.0915527;25.0147;
20120619;09;00;;;17.287;;29.1154;;;;84.1909;;0.160217;-9.99e+08;
20120619;12;00;;;16.504;;29.329;;;;83.0668;;0.160217;23.0622;
20120619;15;00;;;17.3192;;29.3151;;;;82.8072;;0.0305176;-9.99e+08;
20120619;18;00;;;18.2332;;29.0903;;;;83.0184;;0.0305176;24.1721;
20120619;21;00;;;17.5122;;28.7671;;;;84.9899;;0.160217;-9.99e+08;
20120620;00;00;;;16.2375;;28.8016;;;;85.3283;;0.0534058;23.9639;
20120620;03;00;;;15.7833;;29.1493;;;;83.1036;;0.0152588;-9.99e+08;
20120620;06;00;;;14.882;;29.1675;;;;83.4587;;0.0534058;21.3099;
20120620;09;00;;;16.3298;;28.8304;;;;85.4482;;0.0152588;-9.99e+08;
20120620;12;00;;;14.8627;;28.9275;;;;84.9565;;0.0305176;21.7689;
20120620;15;00;;;14.8627;;28.9275;;;;84.9565;;0.0152588;21.7689;
20120620;18;00;;;14.6409;;28.3083;;;;87.0599;;0.50354;19.7907;
20120620;21;00;;;14.6409;;28.3083;;;;87.0599;;0.50354;19.7907;
20120621;00;00;;;12.4257;;28.4941;;;;85.2517;;0.289917;19.8602;
