Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;5.77968;;25.5116;;;;89.8505;;0.0991821;18.9297;
20120618;03;00;;;6.88836;;27.8009;;;;77.3845;;0.156403;-9.99e+08;
20120618;06;00;;;6.70951;;27.5055;;;;77.7173;;0.946045;23.4759;
20120618;09;00;;;5.47083;;25.6669;;;;87.9713;;1.38855;-9.99e+08;
20120618;12;00;;;2.93975;;23.5026;;;;94.9332;;0.175476;23.031;
20120618;15;00;;;3.14787;;22.8337;;;;96.4098;;0.0114441;-9.99e+08;
20120618;18;00;;;3.19668;;22.3366;;;;96.1397;;0.0228882;15.3052;
20120618;21;00;;;3.78596;;21.687;;;;95.5291;;0.0152588;-9.99e+08;
20120619;00;00;;;5.9888;;25.333;;;;88.4518;;0.0305176;19.4687;
20120619;03;00;;;7.12668;;27.7124;;;;75.6395;;0.0534058;-9.99e+08;
20120619;06;00;;;7.31823;;27.409;;;;75.3755;;1.15204;23.8434;
20120619;09;00;;;5.04344;;25.9591;;;;85.5189;;1.6098;-9.99e+08;
20120619;12;00;;;3.68827;;22.954;;;;94.7738;;0.350952;24.5828;
20120619;15;00;;;4.03744;;21.8463;;;;96.3385;;0;-9.99e+08;
20120619;18;00;;;4.56189;;21.0278;;;;96.0122;;0;16.06;
20120619;21;00;;;4.58053;;20.7671;;;;97.4327;;0;-9.99e+08;
20120620;00;00;;;5.49547;;24.8954;;;;88.8787;;0.0152588;19.3507;
20120620;03;00;;;7.31644;;26.993;;;;77.8578;;0.106812;-9.99e+08;
20120620;06;00;;;6.79185;;27.1363;;;;78.5477;;0.183105;24.1139;
20120620;09;00;;;5.06987;;25.8304;;;;82.8226;;0.137329;-9.99e+08;
20120620;12;00;;;2.8457;;23.1463;;;;93.6063;;0.198364;22.2169;
20120620;15;00;;;2.8457;;23.1463;;;;93.6063;;0.0610352;22.2169;
20120620;18;00;;;3.95004;;21.5583;;;;95.7682;;0;14.9269;
20120620;21;00;;;3.95004;;21.5583;;;;95.7682;;0;14.9269;
20120621;00;00;;;5.48767;;24.7754;;;;88.5508;;0.0762939;18.1402;
