Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;18.4187;;28.4179;;;;81.8892;;0.0267029;28.661;
20120618;03;00;;;17.0564;;28.6759;;;;81.0237;;0.00762939;-9.99e+08;
20120618;06;00;;;16.9857;;28.9117;;;;80.3897;;0.110626;24.7611;
20120618;09;00;;;17.0545;;28.8544;;;;80.7367;;0.125885;-9.99e+08;
20120618;12;00;;;15.6758;;28.9714;;;;79.975;;0.0495911;26.059;
20120618;15;00;;;15.8948;;28.7712;;;;80.8999;;0.0457764;-9.99e+08;
20120618;18;00;;;16.9751;;28.4616;;;;81.0131;;0.106812;29.2682;
20120618;21;00;;;17.3605;;28.2182;;;;81.9296;;0.190735;-9.99e+08;
20120619;00;00;;;17.8133;;28.4267;;;;81.7253;;0.167847;31.8181;
20120619;03;00;;;17.7204;;29.3999;;;;77.2801;;0.0762939;-9.99e+08;
20120619;06;00;;;17.7721;;30.8153;;;;70.5379;;0.175476;25.0906;
20120619;09;00;;;19.3895;;30.3654;;;;72.5562;;0;-9.99e+08;
20120619;12;00;;;18.7991;;29.3603;;;;77.6587;;0;25.9706;
20120619;15;00;;;16.8445;;28.8776;;;;79.9493;;0;-9.99e+08;
20120619;18;00;;;17.1304;;28.9028;;;;79.0346;;0.038147;25.0757;
20120619;21;00;;;16.7377;;28.9858;;;;77.5282;;0.0915527;-9.99e+08;
20120620;00;00;;;17.1941;;28.8641;;;;78.2598;;0.0228882;23.3583;
20120620;03;00;;;17.1066;;29.368;;;;77.0495;;0.038147;-9.99e+08;
20120620;06;00;;;15.264;;30.1988;;;;74.7929;;0.106812;24.0285;
20120620;09;00;;;13.3552;;29.8304;;;;77.1578;;0.0839233;-9.99e+08;
20120620;12;00;;;13.3221;;29.1463;;;;79.6393;;0.267029;24.6944;
20120620;15;00;;;13.3221;;29.1463;;;;79.6393;;0.183105;24.6944;
20120620;18;00;;;15.122;;28.652;;;;82.0511;;0.564575;23.2686;
20120620;21;00;;;15.122;;28.652;;;;82.0511;;0.564575;23.2686;
20120621;00;00;;;10.2607;;28.5879;;;;80.4607;;0.12207;20.3709;
