Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;8.92345;;24.8866;;;;80.3131;;0.0419617;27.1879;
20120618;03;00;;;11.1401;;26.5197;;;;74.5899;;0.259399;-9.99e+08;
20120618;06;00;;;12.6519;;26.9117;;;;72.6761;;0.236511;37.53;
20120618;09;00;;;9.62928;;25.3232;;;;79.3974;;0.31662;-9.99e+08;
20120618;12;00;;;8.32295;;23.3151;;;;84.9624;;0.12207;33.8426;
20120618;15;00;;;7.64035;;23.0837;;;;86.1284;;0.0762939;-9.99e+08;
20120618;18;00;;;8.55963;;22.8991;;;;87.33;;0.175476;26.5743;
20120618;21;00;;;8.94326;;22.937;;;;86.4114;;0.137329;-9.99e+08;
20120619;00;00;;;12.1761;;24.4267;;;;82.3846;;0.137329;33.6748;
20120619;03;00;;;16.9772;;27.1187;;;;71.6688;;0.137329;-9.99e+08;
20120619;06;00;;;15.3178;;26.784;;;;73.8972;;0.396729;44.3731;
20120619;09;00;;;10.7048;;25.0216;;;;80.8722;;0.511169;-9.99e+08;
20120619;12;00;;;10.6046;;23.4228;;;;85.4895;;0.312805;40.1595;
20120619;15;00;;;10.022;;23.2526;;;;85.4539;;0.0610352;-9.99e+08;
20120619;18;00;;;10.0067;;23.2778;;;;84.9366;;0.0305176;31.5627;
20120619;21;00;;;9.46109;;23.0171;;;;87.5813;;0.0991821;-9.99e+08;
20120620;00;00;;;12.6841;;24.6454;;;;83.5732;;0.152588;33.9402;
20120620;03;00;;;14.4522;;26.8055;;;;74.2182;;0.106812;-9.99e+08;
20120620;06;00;;;14.1394;;27.5425;;;;71.822;;0.236511;39.2748;
20120620;09;00;;;10.71;;25.4867;;;;78.9785;;0.183105;-9.99e+08;
20120620;12;00;;;7.21935;;23.5838;;;;85.3573;;0.236511;36.6564;
20120620;15;00;;;7.21935;;23.5838;;;;85.3573;;0.0534058;36.6564;
20120620;18;00;;;7.61622;;23.4333;;;;85.4984;;0.0305176;25.1918;
20120620;21;00;;;7.61622;;23.4333;;;;85.4984;;0.0305176;25.1918;
20120621;00;00;;;10.2291;;25.2754;;;;80.7917;;0.0457764;26.8484;
