Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;12.503;;28.4491;;;;85.2906;;0.0343323;17.9368;
20120618;03;00;;;11.4625;;28.6134;;;;84.246;;0.0724792;-9.99e+08;
20120618;06;00;;;9.04082;;28.818;;;;81.1934;;0.0572205;16.558;
20120618;09;00;;;7.59935;;28.8232;;;;81.4342;;0;-9.99e+08;
20120618;12;00;;;6.77504;;28.7214;;;;81.9291;;0;12.2269;
20120618;15;00;;;6.43332;;28.4274;;;;82.8756;;-0.00762939;-9.99e+08;
20120618;18;00;;;7.68723;;28.1491;;;;83.7269;;0;10.7337;
20120618;21;00;;;6.47344;;27.937;;;;84.0733;;0;-9.99e+08;
20120619;00;00;;;5.22291;;27.958;;;;83.2328;;0;10.7739;
20120619;03;00;;;5.77478;;28.2749;;;;80.8868;;0;-9.99e+08;
20120619;06;00;;;5.29666;;28.5028;;;;79.9774;;0;8.94441;
20120619;09;00;;;5.36872;;28.5841;;;;79.5293;;0;-9.99e+08;
20120619;12;00;;;5.51881;;28.5478;;;;80.16;;0;8.31512;
20120619;15;00;;;3.67318;;28.3776;;;;80.4696;;0.00762939;-9.99e+08;
20120619;18;00;;;2.10701;;27.9341;;;;82.5411;;0.0305176;8.19861;
20120619;21;00;;;1.4787;;27.7983;;;;83.3063;;0.0305176;-9.99e+08;
20120620;00;00;;;4.82966;;27.7704;;;;84.123;;0.0457764;7.43232;
20120620;03;00;;;7.2459;;27.1493;;;;86.7625;;0.282288;-9.99e+08;
20120620;06;00;;;5.56394;;27.3238;;;;84.7529;;0.213623;11.326;
20120620;09;00;;;5.60762;;27.2367;;;;84.8083;;0.160217;-9.99e+08;
20120620;12;00;;;2.90631;;27.1775;;;;86.6887;;0.602722;11.2401;
20120620;15;00;;;2.90631;;27.1775;;;;86.6887;;0.442505;11.2401;
20120620;18;00;;;3.29;;25.6833;;;;91.7875;;4.97437;8.4969;
20120620;21;00;;;3.29;;25.6833;;;;91.7875;;4.97437;8.4969;
20120621;00;00;;;5.37012;;25.3691;;;;91.7019;;11.6272;12.0918;
