Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;12.0764;;28.6366;;;;82.0309;;-4.19583e-20;21.8495;
20120618;03;00;;;12.6261;;28.8009;;;;82.0965;;0;-9.99e+08;
20120618;06;00;;;13.1016;;28.8805;;;;82.2611;;0;17.5243;
20120618;09;00;;;13.3907;;28.8232;;;;82.9777;;0;-9.99e+08;
20120618;12;00;;;13.9148;;28.7214;;;;84.0922;;1.26218e-26;18.2355;
20120618;15;00;;;12.983;;28.5212;;;;84.957;;2.52435e-26;-9.99e+08;
20120618;18;00;;;12.9635;;28.3053;;;;84.9699;;0.0686646;18.4319;
20120618;21;00;;;10.8035;;28.187;;;;85.0833;;0.0686646;-9.99e+08;
20120619;00;00;;;10.399;;28.1142;;;;85.4613;;0.137329;17.2248;
20120619;03;00;;;9.03342;;28.2124;;;;84.8497;;0.190735;-9.99e+08;
20120619;06;00;;;9.16571;;28.5028;;;;83.6442;;0.0991821;14.3018;
20120619;09;00;;;10.0243;;28.5841;;;;83.8968;;0;-9.99e+08;
20120619;12;00;;;10.0846;;28.2665;;;;85.4108;;0.25177;13.9687;
20120619;15;00;;;9.33236;;28.0338;;;;86.5018;;0.0991821;-9.99e+08;
20120619;18;00;;;5.45928;;26.6216;;;;90.7123;;0.541687;13.6851;
20120619;21;00;;;5.27623;;26.7358;;;;88.9118;;0.274658;-9.99e+08;
20120620;00;00;;;6.30331;;27.3016;;;;86.3293;;0.00762939;9.34594;
20120620;03;00;;;7.73514;;27.8055;;;;84.6809;;0;-9.99e+08;
20120620;06;00;;;6.93412;;28.0113;;;;83.588;;0;11.2008;
20120620;09;00;;;7.90386;;28.2367;;;;81.8698;;0;-9.99e+08;
20120620;12;00;;;6.62296;;28.24;;;;81.6283;;0;11.0465;
20120620;15;00;;;6.62296;;28.24;;;;81.6283;;0;11.0465;
20120620;18;00;;;7.95153;;27.2458;;;;86.8477;;0.50354;11.7945;
20120620;21;00;;;7.95153;;27.2458;;;;86.8477;;0.50354;11.7945;
20120621;00;00;;;3.6888;;26.9004;;;;84.8594;;0.564575;11.5261;
