Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;38.473;;27.3241;;;;93.3646;;10.7727;72.2074;
20120618;03;00;;;36.5076;;27.3947;;;;92.4576;;15.6136;-9.99e+08;
20120618;06;00;;;34.1063;;27.6617;;;;89.2883;;4.23431;54.5913;
20120618;09;00;;;28.0315;;26.9794;;;;92.4882;;8.26263;-9.99e+08;
20120618;12;00;;;25.4029;;27.0651;;;;91.7103;;10.8452;45.8919;
20120618;15;00;;;24.9697;;27.7399;;;;87.5407;;0.205994;-9.99e+08;
20120618;18;00;;;21.4228;;26.9928;;;;92.3161;;3.95966;33.5738;
20120618;21;00;;;21.2073;;26.9995;;;;92.3165;;6.21796;-9.99e+08;
20120619;00;00;;;21.5815;;28.1455;;;;87.2322;;0.282288;30.7284;
20120619;03;00;;;19.595;;27.0249;;;;92.331;;7.67517;-9.99e+08;
20120619;06;00;;;20.6756;;28.0028;;;;88.2447;;5.79071;30.5885;
20120619;09;00;;;19.6835;;28.6779;;;;84.64;;4.29535;-9.99e+08;
20120619;12;00;;;19.6271;;28.6728;;;;86.1963;;0.892639;29.8149;
20120619;15;00;;;20.9358;;29.2838;;;;83.4035;;0.144958;-9.99e+08;
20120619;18;00;;;22.4426;;28.7153;;;;85.5491;;0.144958;29.2067;
20120619;21;00;;;21.3125;;28.7671;;;;85.7346;;0.0839233;-9.99e+08;
20120620;00;00;;;21.5404;;28.7704;;;;85.9485;;0.144958;29.6535;
20120620;03;00;;;19.452;;29.0555;;;;84.5497;;0.114441;-9.99e+08;
20120620;06;00;;;18.4944;;29.2613;;;;83.5885;;0.00762939;28.1652;
20120620;09;00;;;18.8312;;29.2367;;;;83.2861;;0.038147;-9.99e+08;
20120620;12;00;;;17.8649;;29.0213;;;;85.3356;;0.0762939;24.4893;
20120620;15;00;;;17.8649;;29.0213;;;;85.3356;;0.038147;24.4893;
20120620;18;00;;;18.4993;;28.6833;;;;86.2049;;0.0457764;25.4632;
20120620;21;00;;;18.4993;;28.6833;;;;86.2049;;0.0457764;25.4632;
20120621;00;00;;;18.2984;;28.5254;;;;87.6515;;0.228882;25.1322;
