Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;3.07688;;22.5741;;;;89.6608;;-4.19583e-20;10.7911;
20120618;03;00;;;2.37776;;27.4259;;;;72;;0;-9.99e+08;
20120618;06;00;;;3.63669;;29.0055;;;;65.8458;;0;13.0895;
20120618;09;00;;;4.16344;;27.0732;;;;77.1092;;0;-9.99e+08;
20120618;12;00;;;0.920901;;23.9714;;;;91.824;;1.26218e-26;14.3874;
20120618;15;00;;;2.85704;;21.0837;;;;96.0683;;2.52435e-26;-9.99e+08;
20120618;18;00;;;2.4395;;20.4303;;;;96.9969;;0;10.7033;
20120618;21;00;;;2.03638;;20.7807;;;;97.9178;;0;-9.99e+08;
20120619;00;00;;;2.54257;;22.2392;;;;90.5503;;0;10.7132;
20120619;03;00;;;1.64261;;27.0562;;;;76.0956;;0;-9.99e+08;
20120619;06;00;;;4.88563;;28.3465;;;;68.6972;;0;16.2439;
20120619;09;00;;;4.72625;;26.3341;;;;79.7263;;0;-9.99e+08;
20120619;12;00;;;3.02638;;21.954;;;;96.8136;;0;17.6744;
20120619;15;00;;;1.55078;;21.1276;;;;97.8336;;0;-9.99e+08;
20120619;18;00;;;1.75711;;19.8403;;;;99.5171;;0;9.22566;
20120619;21;00;;;2.9967;;19.7358;;;;97.4149;;0;-9.99e+08;
20120620;00;00;;;2.06497;;22.1454;;;;89.915;;3.76378e-20;10.4451;
20120620;03;00;;;1.49076;;27.1493;;;;72.1779;;3.9443e-27;-9.99e+08;
20120620;06;00;;;4.1021;;28.3863;;;;68.6971;;0.221252;15.2558;
20120620;09;00;;;4.61704;;26.7992;;;;75.8841;;0.0228882;-9.99e+08;
20120620;12;00;;;2.08403;;24.24;;;;86.0586;;0.0228882;16.0052;
20120620;15;00;;;2.08403;;24.24;;;;86.0586;;0;16.0052;
20120620;18;00;;;2.57969;;20.6208;;;;92.517;;0;8.70763;
20120620;21;00;;;2.57969;;20.6208;;;;92.517;;0;8.70763;
20120621;00;00;;;2.61113;;23.0879;;;;89.1037;;0.198364;10.0377;
