Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;4.63491;;28.4804;;;;77.648;;-4.19583e-20;10.9714;
20120618;03;00;;;4.48049;;28.6447;;;;77.492;;0;-9.99e+08;
20120618;06;00;;;4.99175;;28.818;;;;76.5597;;0;7.80995;
20120618;09;00;;;6.21916;;28.8544;;;;76.6791;;0;-9.99e+08;
20120618;12;00;;;6.9469;;28.5964;;;;79.0177;;0.102997;9.76657;
20120618;15;00;;;5.66484;;27.9587;;;;82.3479;;0.484467;-9.99e+08;
20120618;18;00;;;5.44603;;27.4928;;;;84.2771;;0.350952;9.83386;
20120618;21;00;;;4.38811;;27.062;;;;86.3686;;0.549316;-9.99e+08;
20120619;00;00;;;4.30361;;27.0517;;;;86.379;;0.25177;8.43313;
20120619;03;00;;;4.44756;;27.6812;;;;83.9381;;0.0152588;-9.99e+08;
20120619;06;00;;;5.51906;;28.159;;;;83.2467;;0;8.55523;
20120619;09;00;;;5.65373;;28.0529;;;;83.602;;0.038147;-9.99e+08;
20120619;12;00;;;6.09346;;27.579;;;;85.7264;;0.152588;9.00616;
20120619;15;00;;;4.57301;;27.2213;;;;86.5622;;0.152588;-9.99e+08;
20120619;18;00;;;5.98497;;26.1841;;;;91.0938;;0.62561;9.53321;
20120619;21;00;;;4.12217;;26.2983;;;;88.2235;;0.87738;-9.99e+08;
20120620;00;00;;;5.81895;;26.2391;;;;88.9714;;0.701904;9.32696;
20120620;03;00;;;9.68044;;26.0243;;;;90.2261;;0.289917;-9.99e+08;
20120620;06;00;;;10.6613;;26.48;;;;87.3445;;0.144958;14.9521;
20120620;09;00;;;7.52077;;26.5492;;;;84.7453;;0.320435;-9.99e+08;
20120620;12;00;;;6.41275;;27.2713;;;;82.1202;;0.358582;15.1281;
20120620;15;00;;;6.41275;;27.2713;;;;82.1202;;0.038147;15.1281;
20120620;18;00;;;7.86317;;26.527;;;;86.2779;;1.8158;12.7608;
20120620;21;00;;;7.86317;;26.527;;;;86.2779;;1.8158;12.7608;
20120621;00;00;;;5.93913;;26.3066;;;;87.8726;;2.91443;13.734;
