Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;21.2367;;27.1366;;;;92.9406;;9.41849;35.7764;
20120618;03;00;;;22.5685;;28.1447;;;;86.3176;;2.95639;-9.99e+08;
20120618;06;00;;;21.8083;;29.568;;;;78.9825;;1.11771;32.8067;
20120618;09;00;;;21.8604;;29.5732;;;;79.1016;;0.179291;-9.99e+08;
20120618;12;00;;;19.4043;;27.7526;;;;88.6835;;1.07574;29.4534;
20120618;15;00;;;17.9406;;27.6462;;;;90.1523;;1.90735;-9.99e+08;
20120618;18;00;;;19.7882;;28.8991;;;;83.0747;;0.450134;28.3873;
20120618;21;00;;;20.0116;;29.3432;;;;81.1101;;0.144958;-9.99e+08;
20120619;00;00;;;20.5723;;29.458;;;;80.6688;;0.0610352;27.3188;
20120619;03;00;;;21.2086;;29.4937;;;;80.6738;;0.114441;-9.99e+08;
20120619;06;00;;;19.3697;;29.6903;;;;80.5735;;0.00762939;27.9231;
20120619;09;00;;;19.2363;;29.7091;;;;80.2322;;0;-9.99e+08;
20120619;12;00;;;18.2332;;29.5478;;;;81.902;;0;25.6934;
20120619;15;00;;;19.6316;;29.4401;;;;81.6369;;0.0610352;-9.99e+08;
20120619;18;00;;;20.4417;;29.2778;;;;81.8494;;0.137329;26.9552;
20120619;21;00;;;19.6389;;29.2983;;;;82.0228;;0.0228882;-9.99e+08;
20120620;00;00;;;18.1531;;29.2391;;;;82.933;;0.00762939;27.0071;
20120620;03;00;;;17.6598;;29.3993;;;;82.058;;0;-9.99e+08;
20120620;06;00;;;16.9774;;29.48;;;;81.8235;;0.00762939;23.738;
20120620;09;00;;;16.655;;29.5179;;;;81.7699;;-0.00762939;-9.99e+08;
20120620;12;00;;;15.3694;;29.4275;;;;82.3453;;0;22.1466;
20120620;15;00;;;15.3694;;29.4275;;;;82.3453;;0.00762939;22.1466;
20120620;18;00;;;15.9489;;29.0583;;;;83.1672;;0;22.4106;
20120620;21;00;;;15.9489;;29.0583;;;;83.1672;;0;22.4106;
20120621;00;00;;;14.3449;;29.1191;;;;81.9227;;0.0305176;20.9632;
