Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;2.04585;;25.6054;;;;94.2795;;-4.19583e-20;6.75687;
20120618;03;00;;;1.14567;;29.8322;;;;75.6883;;0;-9.99e+08;
20120618;06;00;;;4.74938;;31.2555;;;;71.8018;;0;12.4592;
20120618;09;00;;;5.80545;;29.0107;;;;80.4067;;0;-9.99e+08;
20120618;12;00;;;4.14125;;25.1589;;;;92.5805;;1.26218e-26;14.1861;
20120618;15;00;;;2.84626;;23.8024;;;;95.4067;;2.52435e-26;-9.99e+08;
20120618;18;00;;;2.67914;;22.5241;;;;97.7907;;0;5.27191;
20120618;21;00;;;2.08301;;22.4057;;;;99.1605;;0;-9.99e+08;
20120619;00;00;;;2.31878;;24.958;;;;94.7715;;0;6.90678;
20120619;03;00;;;1.73968;;29.7749;;;;74.5373;;0;-9.99e+08;
20120619;06;00;;;4.68427;;31.1278;;;;70.0053;;0;12.0313;
20120619;09;00;;;5.35047;;29.3966;;;;80.3115;;0;-9.99e+08;
20120619;12;00;;;3.97758;;25.1103;;;;93.9903;;0;13.5263;
20120619;15;00;;;2.03179;;24.7838;;;;93.3879;;0;-9.99e+08;
20120619;18;00;;;3.87723;;22.4966;;;;98.4534;;0;5.57117;
20120619;21;00;;;2.70219;;22.4546;;;;99.4413;;0;-9.99e+08;
20120620;00;00;;;2.5835;;25.0829;;;;94.1253;;3.76378e-20;7.31841;
20120620;03;00;;;1.71429;;30.118;;;;75.2104;;3.9443e-27;-9.99e+08;
20120620;06;00;;;4.12976;;32.48;;;;61.888;;9.78546e-21;11.8348;
20120620;09;00;;;5.24789;;29.8929;;;;78.7154;;0;-9.99e+08;
20120620;12;00;;;3.59462;;25.8025;;;;92.4568;;0;14.0479;
20120620;15;00;;;3.59462;;25.8025;;;;92.4568;;0;14.0479;
20120620;18;00;;;2.85398;;23.3083;;;;98.0488;;0;5.73278;
20120620;21;00;;;2.85398;;23.3083;;;;98.0488;;0;5.73278;
20120621;00;00;;;1.79667;;26.1816;;;;90.9257;;0;6.43828;
