Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;10.0682;;28.2929;;;;82.8311;;0.106812;20.98;
20120618;03;00;;;11.4152;;30.4259;;;;74.0851;;0.274658;-9.99e+08;
20120618;06;00;;;10.5749;;31.0367;;;;70.0072;;0.00762939;24.5751;
20120618;09;00;;;6.96196;;29.6357;;;;76.999;;0.0114441;-9.99e+08;
20120618;12;00;;;4.01006;;27.1276;;;;88.5087;;0.0152588;22.6209;
20120618;15;00;;;3.77061;;26.5837;;;;90.7595;;0.0228882;-9.99e+08;
20120618;18;00;;;5.57826;;26.4928;;;;86.7051;;0.00762939;12.5714;
20120618;21;00;;;5.16613;;26.062;;;;89.42;;0;-9.99e+08;
20120619;00;00;;;10.5043;;28.3955;;;;82.9145;;0.0991821;21.4033;
20120619;03;00;;;11.0176;;30.1187;;;;75.1115;;0.25177;-9.99e+08;
20120619;06;00;;;10.2989;;30.7528;;;;71.3131;;0.0610352;23.813;
20120619;09;00;;;6.96908;;29.3966;;;;77.1648;;0.00762939;-9.99e+08;
20120619;12;00;;;3.84594;;26.954;;;;88.1084;;0.0228882;22.1395;
20120619;15;00;;;4.3363;;26.5338;;;;89.9068;;0.0534058;-9.99e+08;
20120619;18;00;;;5.45062;;26.0903;;;;88.9397;;0.236511;12.7283;
20120619;21;00;;;5.61168;;25.5171;;;;88.5624;;0;-9.99e+08;
20120620;00;00;;;8.99341;;28.0829;;;;80.6828;;0;18.7451;
20120620;03;00;;;9.60007;;30.1493;;;;72.9289;;0;-9.99e+08;
20120620;06;00;;;9.13323;;30.7613;;;;69.2703;;0;21.551;
20120620;09;00;;;5.65437;;29.5492;;;;74.3362;;0;-9.99e+08;
20120620;12;00;;;3.36017;;26.8963;;;;87.8257;;0;20.0887;
20120620;15;00;;;3.36017;;26.8963;;;;87.8257;;0;20.0887;
20120620;18;00;;;3.47796;;25.4958;;;;92.8882;;0.0762939;7.78689;
20120620;21;00;;;3.47796;;25.4958;;;;92.8882;;0.0762939;7.78689;
20120621;00;00;;;7.40902;;28.0879;;;;82.4089;;0.0305176;15.9248;
