Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;12.0315;;28.4491;;;;83.329;;-4.19583e-20;16.3668;
20120618;03;00;;;13.3048;;28.5509;;;;82.7862;;0;-9.99e+08;
20120618;06;00;;;13.2367;;28.3492;;;;83.8932;;0;17.7293;
20120618;09;00;;;13.3763;;28.1044;;;;84.1205;;0;-9.99e+08;
20120618;12;00;;;12.5621;;28.0339;;;;83.0539;;1.26218e-26;17.6527;
20120618;15;00;;;12.6307;;27.9899;;;;83.9237;;2.52435e-26;-9.99e+08;
20120618;18;00;;;13.1721;;27.8053;;;;85.6736;;0;17.3517;
20120618;21;00;;;13.8431;;27.8432;;;;85.5516;;0;-9.99e+08;
20120619;00;00;;;14.7258;;27.9267;;;;85.8206;;0;19.2163;
20120619;03;00;;;15.6268;;28.0874;;;;83.3679;;0;-9.99e+08;
20120619;06;00;;;15.4947;;28.2528;;;;83.8635;;0;20.6711;
20120619;09;00;;;15.7888;;28.3341;;;;82.4243;;0.0839233;-9.99e+08;
20120619;12;00;;;17.6041;;28.5478;;;;81.5598;;0.00762939;24.562;
20120619;15;00;;;16.7913;;28.3776;;;;84.4114;;0;-9.99e+08;
20120619;18;00;;;17.055;;28.4028;;;;83.6751;;0.00762939;23.1013;
20120619;21;00;;;18.6246;;27.8296;;;;85.5284;;0.1297;-9.99e+08;
20120620;00;00;;;17.524;;27.9266;;;;85.5005;;0.0152588;25.0403;
20120620;03;00;;;17.3232;;28.4618;;;;83.397;;0;-9.99e+08;
20120620;06;00;;;16.7099;;28.73;;;;81.6258;;0.00762939;23.1495;
20120620;09;00;;;16.7533;;28.7054;;;;81.8013;;0.0152588;-9.99e+08;
20120620;12;00;;;15.3293;;28.74;;;;81.6819;;0.0686646;22.0745;
20120620;15;00;;;15.3293;;28.74;;;;81.6819;;0.0534058;22.0745;
20120620;18;00;;;14.6564;;27.7145;;;;87.013;;1.20544;20.626;
20120620;21;00;;;14.6564;;27.7145;;;;87.013;;1.20544;20.626;
20120621;00;00;;;14.1377;;27.2754;;;;86.5308;;6.24084;21.5138;
